                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.5121,                 1.1485,                 1.0223,                0.37896,                0.28313,                0.27476,                0.15255,                 1.4142,                 1.0613,                0.98119,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.5005,                 1.1439,                 1.0219,                0.37237,                0.28062,                0.27149,                 0.1501,                 1.4212,                 1.0629,                0.98192,               0.007723,               0.007723,               0.007723
                     49,                 1.4942,                 1.1346,                 1.0159,                0.38265,                0.28278,                0.27498,                0.15204,                 1.4171,                 1.0593,                0.98123,              0.0076735,              0.0076735,              0.0076735
                     50,                  1.493,                 1.1324,                 1.0156,                0.37433,                0.28429,                0.27444,                0.15372,                 1.4107,                 1.0549,                0.97961,               0.007624,               0.007624,               0.007624
                     51,                   1.49,                   1.13,                 1.0132,                0.38338,                 0.2851,                0.27684,                0.15458,                 1.4121,                 1.0498,                 0.9801,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.4869,                 1.1247,                 1.0131,                0.38213,                0.28873,                   0.28,                0.15525,                 1.4096,                 1.0488,                0.97871,               0.007525,               0.007525,               0.007525
                     53,                  1.493,                 1.1327,                 1.0148,                0.38138,                0.28732,                0.28131,                0.15679,                 1.4024,                 1.0457,                0.97737,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.4862,                 1.1151,                 1.0116,                0.38407,                0.28809,                0.28182,                0.15786,                 1.3992,                 1.0424,                0.97682,               0.007426,               0.007426,               0.007426
                     55,                 1.4801,                 1.1197,                 1.0121,                0.39065,                0.28653,                0.28178,                0.15725,                 1.3995,                 1.0431,                0.97569,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.4749,                 1.1136,                 1.0118,                0.38743,                0.28931,                0.28214,                0.15697,                 1.4022,                 1.0428,                0.97631,               0.007327,               0.007327,               0.007327
                     57,                 1.4806,                 1.1099,                 1.0133,                0.38405,                0.28792,                0.28059,                0.15711,                 1.3995,                 1.0419,                0.97661,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.4741,                 1.1145,                 1.0117,                0.39669,                0.29163,                0.28521,                0.15882,                 1.4007,                 1.0358,                0.97672,               0.007228,               0.007228,               0.007228
