                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.4369,                  1.068,                 1.0005,                0.40082,                0.30073,                0.28884,                0.16418,                 1.3636,                  1.007,                0.96757,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.4334,                 1.0688,                 1.0003,                0.40721,                0.29625,                 0.2884,                0.16436,                 1.3634,                 1.0051,                0.96781,               0.007228,               0.007228,               0.007228
                     59,                 1.4382,                 1.0679,                0.99793,                0.39701,                0.29927,                0.28847,                0.16364,                 1.3631,                 1.0023,                0.96698,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.4341,                 1.0655,                0.99893,                0.39809,                0.29695,                0.29004,                0.16612,                 1.3606,                 1.0012,                0.96865,               0.007129,               0.007129,               0.007129
                     61,                 1.4242,                  1.058,                0.99906,                0.40135,                0.30377,                0.29273,                0.16667,                 1.3549,                0.99517,                0.96587,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.4233,                 1.0573,                0.99568,                0.40806,                0.29917,                0.29174,                0.16712,                 1.3623,                0.99675,                0.96779,                0.00703,                0.00703,                0.00703
                     63,                 1.4273,                 1.0588,                0.99672,                0.39611,                0.30761,                0.29301,                0.16713,                 1.3538,                0.99609,                0.96505,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.4248,                 1.0555,                0.99484,                0.40255,                0.30292,                0.29145,                0.16671,                 1.3559,                0.99671,                0.96631,               0.006931,               0.006931,               0.006931
                     65,                 1.4241,                 1.0509,                0.99529,                0.40848,                0.30447,                0.29675,                0.16821,                 1.3544,                 0.9943,                0.96548,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.4204,                 1.0521,                0.99576,                0.39897,                0.30627,                0.29673,                0.16968,                 1.3486,                 0.9923,                0.96304,               0.006832,               0.006832,               0.006832
                     67,                 1.4149,                 1.0415,                0.99362,                0.40172,                0.30598,                 0.2946,                0.16884,                 1.3459,                0.99026,                0.96348,              0.0067825,              0.0067825,              0.0067825
                     68,                  1.421,                  1.048,                 0.9919,                0.40349,                   0.31,                0.29813,                 0.1707,                 1.3462,                0.99007,                0.96147,               0.006733,               0.006733,               0.006733
                     69,                 1.4133,                 1.0465,                0.99568,                0.40002,                0.30971,                0.29768,                0.17088,                 1.3465,                0.98656,                0.96238,              0.0066835,              0.0066835,              0.0066835
                     70,                  1.416,                  1.046,                0.99048,                0.40756,                0.30645,                0.29837,                0.17118,                 1.3468,                0.98561,                0.96319,               0.006634,               0.006634,               0.006634
                     71,                 1.4167,                 1.0393,                0.99239,                0.41083,                 0.3073,                0.29807,                0.17109,                 1.3442,                0.98601,                0.96336,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.4205,                 1.0484,                0.99056,                0.40601,                0.30429,                0.29742,                 0.1708,                 1.3413,                 0.9848,                0.96175,               0.006535,               0.006535,               0.006535
                     73,                 1.4044,                 1.0306,                0.99181,                0.40912,                0.30632,                0.29896,                0.17142,                 1.3428,                0.98546,                0.96195,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.4079,                 1.0363,                0.99049,                 0.4101,                0.30721,                0.29966,                 0.1734,                 1.3386,                0.98237,                0.96019,               0.006436,               0.006436,               0.006436
                     75,                 1.4014,                 1.0305,                0.98933,                0.40875,                0.30967,                0.30064,                0.17242,                 1.3398,                0.97991,                0.96071,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.3977,                 1.0226,                0.99091,                0.40609,                0.31033,                0.30268,                0.17398,                 1.3415,                0.97968,                0.96149,               0.006337,               0.006337,               0.006337
                     77,                 1.4058,                 1.0314,                 0.9884,                0.40723,                0.31138,                0.30274,                 0.1743,                 1.3374,                0.97728,                0.96074,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.4004,                 1.0259,                0.98872,                0.40768,                0.31182,                 0.3021,                0.17337,                 1.3394,                0.97595,                0.96133,               0.006238,               0.006238,               0.006238
                     79,                  1.396,                  1.023,                0.98624,                 0.4079,                0.31384,                 0.3022,                0.17387,                 1.3378,                0.97863,                0.96082,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.4015,                  1.028,                0.98857,                0.41006,                0.31033,                0.30421,                0.17466,                 1.3373,                0.97583,                0.95964,               0.006139,               0.006139,               0.006139
                     81,                   1.39,                 1.0157,                0.98697,                0.41502,                0.31247,                 0.3046,                0.17571,                 1.3319,                0.97313,                0.95893,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.3955,                 1.0179,                  0.988,                0.42652,                 0.3112,                0.30623,                0.17631,                 1.3315,                0.97216,                0.95897,                0.00604,                0.00604,                0.00604
                     83,                  1.391,                  1.013,                0.98678,                0.41806,                0.31007,                0.30544,                0.17635,                 1.3296,                0.97197,                0.95785,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.3979,                 1.0188,                0.98328,                0.41597,                0.31039,                0.30497,                0.17571,                 1.3295,                0.96962,                0.95822,               0.005941,               0.005941,               0.005941
                     85,                 1.3858,                 1.0059,                0.98496,                0.41867,                0.31274,                0.30562,                 0.1764,                  1.329,                0.96809,                0.95746,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.3861,                  1.009,                0.98464,                0.41406,                0.31201,                0.30395,                0.17497,                   1.33,                0.96904,                0.95784,               0.005842,               0.005842,               0.005842
                     87,                 1.3906,                 1.0096,                0.98476,                0.41856,                0.30902,                0.30537,                0.17638,                 1.3295,                0.97034,                0.95737,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.3837,                 1.0059,                0.98263,                0.41679,                0.31416,                0.30721,                 0.1773,                 1.3269,                0.96615,                0.95625,               0.005743,               0.005743,               0.005743
                     89,                 1.3876,                 1.0113,                0.98396,                0.42129,                0.31198,                0.30775,                0.17788,                 1.3255,                0.96469,                0.95557,              0.0056935,              0.0056935,              0.0056935
                     90,                  1.385,                 1.0076,                0.98248,                0.42118,                 0.3133,                0.30779,                0.17773,                 1.3219,                0.96591,                 0.9551,               0.005644,               0.005644,               0.005644
                     91,                 1.3786,                0.99938,                0.98358,                0.40934,                0.31663,                0.30761,                0.17722,                 1.3238,                0.96816,                0.95543,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.3795,                 1.0028,                0.98297,                0.41556,                0.31364,                0.30651,                 0.1766,                 1.3222,                0.96498,                0.95479,               0.005545,               0.005545,               0.005545
                     93,                  1.382,                 1.0051,                0.98353,                0.42135,                0.31434,                0.30944,                0.17762,                 1.3227,                0.96355,                0.95482,              0.0054955,              0.0054955,              0.0054955
                     94,                  1.381,                0.99906,                0.98338,                0.41597,                 0.3157,                0.30961,                0.17804,                 1.3216,                0.96176,                  0.954,               0.005446,               0.005446,               0.005446
                     95,                 1.3709,                0.99435,                0.97906,                 0.4204,                0.31679,                 0.3117,                0.17916,                 1.3206,                0.96039,                0.95348,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.3728,                0.99483,                0.98203,                0.41423,                0.32401,                0.31254,                0.17999,                  1.321,                0.96175,                 0.9547,               0.005347,               0.005347,               0.005347
                     97,                 1.3776,                0.99434,                 0.9808,                0.41494,                0.32399,                0.31205,                0.17935,                 1.3211,                0.96194,                0.95438,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.3737,                0.99495,                0.98356,                0.41274,                0.32367,                0.31081,                0.17881,                 1.3213,                  0.963,                0.95436,               0.005248,               0.005248,               0.005248
                     99,                 1.3891,                 1.0022,                0.97854,                0.41399,                0.32504,                0.31217,                0.17966,                 1.3254,                0.96357,                0.95449,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.4047,                 1.0164,                0.97869,                0.41608,                0.32221,                0.31259,                0.18023,                 1.3401,                0.97494,                0.95414,               0.005149,               0.005149,               0.005149
