                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.4267,                 1.0548,                 0.9972,                0.40346,                0.30261,                0.29363,                0.16643,                 1.3554,                0.98574,                0.96576,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.4246,                 1.0509,                0.99467,                0.39485,                0.30136,                0.29147,                0.16596,                  1.354,                0.98496,                0.96565,               0.006931,               0.006931,               0.006931
                     65,                 1.4247,                 1.0476,                0.99631,                0.41054,                0.30111,                0.29549,                0.16738,                 1.3551,                0.98338,                0.96566,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.4179,                 1.0461,                0.99553,                0.40191,                0.30499,                0.29882,                0.17038,                 1.3467,                0.97927,                0.96375,               0.006832,               0.006832,               0.006832
                     67,                 1.4143,                 1.0379,                0.99411,                 0.4092,                0.30032,                0.29651,                0.16901,                 1.3469,                0.98143,                0.96315,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.4207,                 1.0442,                0.99254,                0.39866,                0.30516,                0.29788,                0.16899,                 1.3484,                0.97759,                0.96421,               0.006733,               0.006733,               0.006733
                     69,                  1.412,                 1.0427,                0.99556,                0.40658,                 0.3081,                0.29926,                0.17033,                 1.3466,                0.97483,                0.96449,              0.0066835,              0.0066835,              0.0066835
                     70,                  1.415,                 1.0428,                0.99104,                0.40396,                0.30536,                 0.2994,                0.17077,                  1.341,                 0.9739,                 0.9615,               0.006634,               0.006634,               0.006634
                     71,                 1.4157,                 1.0344,                0.99277,                0.40308,                0.30679,                0.29824,                0.17046,                 1.3412,                0.97396,                0.96125,              0.0065845,              0.0065845,              0.0065845
                     72,                  1.418,                 1.0432,                0.99018,                0.39889,                0.31009,                0.29887,                0.17048,                 1.3383,                0.97165,                0.96086,               0.006535,               0.006535,               0.006535
                     73,                 1.4047,                 1.0293,                0.99212,                 0.3986,                 0.3105,                0.29825,                0.17006,                   1.34,                0.97433,                0.96186,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.4091,                 1.0337,                0.99105,                0.40403,                0.31023,                0.30124,                0.17183,                 1.3408,                0.97174,                0.96231,               0.006436,               0.006436,               0.006436
                     75,                 1.4009,                 1.0277,                0.98943,                0.39997,                0.31215,                 0.3018,                0.17261,                 1.3402,                0.96786,                0.96195,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.3975,                 1.0198,                0.99162,                0.40715,                0.31092,                0.30446,                0.17314,                  1.338,                0.96831,                0.96135,               0.006337,               0.006337,               0.006337
                     77,                 1.4048,                 1.0268,                0.98846,                0.41177,                0.31211,                0.30432,                0.17327,                 1.3359,                0.96845,                0.96021,              0.0062875,              0.0062875,              0.0062875
                     78,                  1.399,                 1.0221,                0.98876,                0.41602,                0.30914,                0.30462,                0.17482,                 1.3344,                0.96802,                0.96094,               0.006238,               0.006238,               0.006238
                     79,                 1.3962,                  1.021,                0.98687,                0.41338,                0.31206,                0.30559,                0.17518,                 1.3344,                  0.965,                0.95948,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.4001,                 1.0226,                0.98867,                0.40814,                0.31597,                0.30604,                 0.1755,                 1.3354,                0.96558,                0.95987,               0.006139,               0.006139,               0.006139
                     81,                 1.3889,                 1.0105,                0.98706,                0.40389,                0.31433,                0.30618,                 0.1756,                  1.334,                0.96616,                 0.9594,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.3935,                 1.0125,                0.98772,                0.40886,                0.31461,                0.30628,                0.17534,                 1.3344,                0.96438,                0.96052,                0.00604,                0.00604,                0.00604
                     83,                 1.3889,                 1.0094,                0.98727,                0.41386,                 0.3119,                0.30641,                0.17523,                 1.3306,                0.96249,                0.95904,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.3968,                  1.015,                0.98355,                0.41729,                0.31434,                0.30684,                0.17543,                 1.3286,                   0.96,                0.95903,               0.005941,               0.005941,               0.005941
                     85,                 1.3841,                 1.0036,                0.98502,                0.41566,                0.31244,                0.30706,                0.17569,                 1.3296,                0.96056,                0.96022,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.3864,                 1.0059,                0.98512,                0.42974,                0.30761,                0.30658,                0.17521,                 1.3279,                 0.9607,                0.95919,               0.005842,               0.005842,               0.005842
                     87,                  1.389,                 1.0047,                0.98485,                0.43013,                0.30882,                0.30964,                 0.1772,                 1.3273,                0.95758,                0.95854,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.3836,                 1.0021,                0.98227,                0.42342,                0.31335,                0.31013,                0.17698,                 1.3271,                 0.9561,                0.95842,               0.005743,               0.005743,               0.005743
                     89,                 1.3863,                 1.0069,                0.98404,                0.42086,                0.31394,                0.30943,                 0.1773,                 1.3274,                0.95668,                0.95923,              0.0056935,              0.0056935,              0.0056935
                     90,                  1.384,                 1.0035,                0.98262,                0.41822,                0.31348,                0.30963,                0.17807,                 1.3245,                0.95591,                0.95774,               0.005644,               0.005644,               0.005644
                     91,                 1.3773,                0.99535,                0.98379,                0.42814,                0.31236,                 0.3103,                0.17859,                 1.3215,                0.95343,                 0.9568,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.3781,                0.99886,                 0.9829,                 0.4238,                0.31219,                 0.3099,                0.17843,                 1.3234,                0.95233,                0.95735,               0.005545,               0.005545,               0.005545
                     93,                 1.3812,                0.99925,                0.98374,                0.43837,                0.31178,                0.31051,                 0.1786,                 1.3223,                0.95203,                0.95681,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.3803,                0.99719,                0.98321,                0.42953,                0.30844,                0.31079,                0.17925,                  1.319,                0.95206,                0.95568,               0.005446,               0.005446,               0.005446
                     95,                 1.3694,                0.99029,                0.97865,                0.42639,                0.31314,                0.31231,                0.18016,                 1.3197,                0.95143,                0.95581,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.3721,                0.99338,                0.98169,                0.42757,                0.31297,                0.31358,                 0.1801,                  1.319,                0.95112,                0.95561,               0.005347,               0.005347,               0.005347
                     97,                 1.3751,                0.99037,                0.98058,                0.42523,                0.31512,                0.31266,                0.17913,                 1.3203,                0.95258,                0.95624,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.3784,                0.99519,                0.98302,                0.42439,                0.31476,                0.31164,                0.17902,                 1.3233,                0.95513,                0.95686,               0.005248,               0.005248,               0.005248
                     99,                 1.3995,                 1.0105,                0.97839,                0.42254,                 0.3149,                0.31275,                 0.1794,                 1.3376,                0.96543,                0.95617,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.4046,                 1.0172,                0.97799,                0.42981,                0.31333,                 0.3134,                0.18038,                 1.3474,                0.97616,                0.95508,               0.005149,               0.005149,               0.005149
                    101,                 1.3992,                 1.0125,                0.97505,                0.42528,                0.31616,                0.31432,                0.18088,                 1.3508,                0.98244,                0.95409,              0.0050995,              0.0050995,              0.0050995
                    102,                 1.4084,                 1.0235,                0.97594,                0.42581,                0.31423,                0.31509,                0.18093,                 1.3539,                0.98776,                0.95377,                0.00505,                0.00505,                0.00505
                    103,                 1.4026,                 1.0192,                0.97421,                0.42539,                0.31565,                0.31495,                 0.1809,                 1.3562,                0.99202,                0.95367,              0.0050005,              0.0050005,              0.0050005
                    104,                 1.4068,                 1.0247,                 0.9748,                0.42752,                0.31479,                 0.3142,                0.18091,                 1.3554,                0.99462,                0.95265,               0.004951,               0.004951,               0.004951
                    105,                 1.4091,                 1.0219,                0.97411,                0.42425,                 0.3138,                0.31423,                0.18061,                 1.3548,                0.99354,                 0.9516,              0.0049015,              0.0049015,              0.0049015
                    106,                 1.4092,                  1.027,                0.97107,                0.42354,                0.31298,                0.31421,                0.18069,                 1.3525,                0.99361,                0.94998,               0.004852,               0.004852,               0.004852
                    107,                 1.4077,                 1.0234,                0.96989,                0.42758,                 0.3116,                0.31419,                0.18091,                 1.3516,                0.99287,                0.94906,              0.0048025,              0.0048025,              0.0048025
                    108,                 1.3969,                 1.0166,                0.96715,                0.42339,                0.31311,                 0.3144,                0.18162,                 1.3501,                0.99101,                0.94756,               0.004753,               0.004753,               0.004753
                    109,                 1.3986,                 1.0156,                0.96945,                0.42506,                0.31497,                0.31542,                0.18196,                 1.3491,                0.99006,                0.94692,              0.0047035,              0.0047035,              0.0047035
                    110,                  1.392,                 1.0128,                0.96484,                0.42796,                0.31549,                 0.3159,                0.18187,                 1.3493,                0.99008,                 0.9465,               0.004654,               0.004654,               0.004654
                    111,                 1.3975,                 1.0161,                0.96638,                 0.4331,                0.31252,                0.31645,                0.18229,                 1.3482,                0.98917,                0.94644,              0.0046045,              0.0046045,              0.0046045
                    112,                 1.3937,                 1.0167,                0.96471,                0.43071,                0.31573,                0.31644,                0.18215,                 1.3465,                0.98763,                0.94558,               0.004555,               0.004555,               0.004555
                    113,                 1.3976,                 1.0134,                0.96806,                0.42679,                0.31795,                0.31654,                0.18236,                 1.3462,                0.98657,                0.94527,              0.0045055,              0.0045055,              0.0045055
                    114,                 1.3957,                 1.0131,                0.96408,                0.42907,                0.31741,                0.31694,                0.18219,                  1.345,                0.98488,                0.94476,               0.004456,               0.004456,               0.004456
                    115,                 1.3907,                 1.0002,                 0.9606,                0.42846,                0.32001,                0.31688,                0.18228,                 1.3456,                0.98557,                 0.9448,              0.0044065,              0.0044065,              0.0044065
                    116,                 1.3971,                 1.0066,                0.96528,                0.42778,                0.31973,                0.31764,                0.18244,                 1.3457,                0.98513,                0.94458,               0.004357,               0.004357,               0.004357
                    117,                 1.3894,                 1.0022,                0.96155,                0.42621,                0.31941,                0.31729,                0.18252,                 1.3456,                0.98399,                0.94425,              0.0043075,              0.0043075,              0.0043075
                    118,                 1.3857,                 1.0016,                0.96123,                0.42616,                0.32105,                0.31736,                0.18289,                 1.3452,                0.98272,                0.94392,               0.004258,               0.004258,               0.004258
                    119,                 1.3838,                 1.0016,                0.96322,                0.42536,                 0.3212,                0.31755,                 0.1831,                 1.3451,                0.98185,                0.94398,              0.0042085,              0.0042085,              0.0042085
                    120,                 1.3834,                 1.0004,                0.96255,                0.42595,                0.32107,                0.31765,                0.18343,                 1.3444,                0.98059,                0.94378,               0.004159,               0.004159,               0.004159
                    121,                 1.3867,                 1.0009,                0.96157,                0.42516,                0.32296,                0.31833,                0.18336,                 1.3443,                0.97972,                 0.9433,              0.0041095,              0.0041095,              0.0041095
                    122,                 1.3868,                 1.0003,                 0.9611,                0.43039,                0.31859,                0.31797,                0.18351,                 1.3439,                0.97764,                0.94315,                0.00406,                0.00406,                0.00406
                    123,                 1.3895,                 1.0003,                0.96099,                 0.4318,                0.31861,                0.31823,                0.18409,                 1.3431,                0.97733,                 0.9429,              0.0040105,              0.0040105,              0.0040105
                    124,                 1.3802,                 0.9967,                0.96065,                  0.428,                0.32129,                0.31936,                0.18443,                 1.3432,                0.97654,                0.94265,               0.003961,               0.003961,               0.003961
                    125,                 1.3768,                 0.9936,                0.95843,                0.42694,                0.32134,                0.31933,                0.18451,                 1.3426,                0.97613,                0.94239,              0.0039115,              0.0039115,              0.0039115
                    126,                 1.3776,                0.98955,                 0.9592,                0.42849,                0.31995,                0.31961,                  0.185,                 1.3414,                0.97498,                0.94194,               0.003862,               0.003862,               0.003862
                    127,                 1.3828,                0.99422,                0.96051,                0.42802,                0.32144,                0.31999,                0.18521,                  1.341,                0.97377,                0.94189,              0.0038125,              0.0038125,              0.0038125
                    128,                 1.3725,                 0.9843,                0.95674,                0.42906,                0.32061,                0.31992,                0.18548,                 1.3406,                0.97289,                0.94161,               0.003763,               0.003763,               0.003763
                    129,                 1.3709,                0.98197,                0.95626,                0.42949,                0.32082,                0.32036,                0.18601,                 1.3408,                0.97258,                0.94168,              0.0037135,              0.0037135,              0.0037135
                    130,                 1.3749,                0.98636,                0.95775,                0.43246,                0.32169,                0.32048,                0.18589,                 1.3404,                0.97257,                0.94138,               0.003664,               0.003664,               0.003664
                    131,                 1.3745,                0.98652,                0.95667,                0.43205,                0.32177,                0.32086,                0.18627,                 1.3403,                 0.9721,                 0.9413,              0.0036145,              0.0036145,              0.0036145
                    132,                 1.3732,                0.98472,                 0.9584,                0.43419,                0.32109,                0.32134,                0.18649,                 1.3403,                0.97125,                  0.941,               0.003565,               0.003565,               0.003565
                    133,                 1.3743,                0.98602,                0.95912,                0.43126,                0.32252,                0.32141,                 0.1864,                 1.3392,                 0.9706,                0.94072,              0.0035155,              0.0035155,              0.0035155
                    134,                  1.376,                0.98479,                0.95453,                 0.4281,                0.32319,                0.32186,                0.18662,                 1.3388,                0.96982,                0.94064,               0.003466,               0.003466,               0.003466
                    135,                 1.3755,                0.98389,                0.95451,                0.43285,                0.32197,                0.32164,                0.18669,                 1.3383,                0.96929,                0.94053,              0.0034165,              0.0034165,              0.0034165
                    136,                 1.3692,                0.97646,                0.95582,                0.43368,                0.32232,                0.32222,                0.18732,                 1.3378,                0.96861,                0.94047,               0.003367,               0.003367,               0.003367
                    137,                 1.3632,                0.97383,                0.95463,                0.43283,                0.32307,                0.32168,                0.18721,                 1.3379,                0.96847,                0.94042,              0.0033175,              0.0033175,              0.0033175
                    138,                 1.3699,                0.97694,                0.95626,                0.43524,                0.32222,                  0.322,                0.18749,                 1.3369,                 0.9676,                0.94017,               0.003268,               0.003268,               0.003268
                    139,                 1.3657,                0.97235,                0.95487,                0.43421,                0.32313,                0.32217,                0.18742,                 1.3369,                0.96731,                 0.9402,              0.0032185,              0.0032185,              0.0032185
                    140,                  1.362,                0.97117,                0.95377,                 0.4334,                0.32269,                0.32201,                 0.1874,                 1.3363,                0.96683,                0.94013,               0.003169,               0.003169,               0.003169
                    141,                 1.3695,                 0.9704,                0.95583,                 0.4366,                 0.3225,                0.32276,                0.18772,                 1.3363,                0.96665,                0.93999,              0.0031195,              0.0031195,              0.0031195
                    142,                 1.3654,                0.97035,                0.95433,                0.43534,                0.32364,                 0.3224,                0.18747,                 1.3357,                0.96583,                0.93975,                0.00307,                0.00307,                0.00307
                    143,                 1.3605,                0.96605,                 0.9526,                0.43404,                0.32323,                0.32253,                0.18733,                 1.3356,                0.96533,                0.93942,              0.0030205,              0.0030205,              0.0030205
                    144,                 1.3656,                0.97195,                0.95359,                0.43728,                0.32257,                0.32252,                0.18718,                 1.3354,                0.96499,                0.93926,               0.002971,               0.002971,               0.002971
                    145,                  1.359,                0.96659,                0.95387,                0.43355,                0.32457,                0.32256,                0.18769,                 1.3353,                0.96475,                0.93919,              0.0029215,              0.0029215,              0.0029215
                    146,                 1.3566,                0.96076,                0.95204,                0.43705,                 0.3235,                0.32216,                 0.1876,                  1.335,                0.96452,                0.93917,               0.002872,               0.002872,               0.002872
                    147,                 1.3548,                0.96357,                 0.9535,                0.43655,                0.32371,                 0.3229,                 0.1878,                 1.3348,                0.96443,                0.93908,              0.0028225,              0.0028225,              0.0028225
                    148,                 1.3696,                0.97111,                0.95352,                0.43395,                0.32505,                0.32294,                0.18794,                 1.3344,                 0.9642,                0.93903,               0.002773,               0.002773,               0.002773
                    149,                 1.3569,                0.96154,                0.95278,                0.43389,                0.32509,                0.32308,                0.18813,                 1.3342,                0.96421,                0.93889,              0.0027235,              0.0027235,              0.0027235
                    150,                 1.3589,                0.96158,                0.95453,                0.43208,                0.32566,                0.32334,                 0.1883,                 1.3341,                0.96386,                0.93874,               0.002674,               0.002674,               0.002674
                    151,                 1.3527,                0.95837,                0.95353,                0.43316,                0.32436,                0.32362,                 0.1882,                 1.3341,                0.96384,                0.93883,              0.0026245,              0.0026245,              0.0026245
                    152,                 1.3509,                0.95747,                0.95261,                0.43201,                0.32405,                0.32343,                0.18823,                  1.334,                0.96373,                0.93867,               0.002575,               0.002575,               0.002575
                    153,                 1.3618,                 0.9593,                0.95091,                0.43242,                 0.3244,                0.32362,                0.18832,                 1.3336,                0.96362,                0.93854,              0.0025255,              0.0025255,              0.0025255
                    154,                 1.3517,                 0.9541,                0.94857,                0.43508,                0.32387,                0.32406,                0.18848,                 1.3335,                0.96313,                0.93842,               0.002476,               0.002476,               0.002476
                    155,                 1.3491,                 0.9544,                0.95037,                0.43242,                0.32416,                 0.3238,                0.18853,                 1.3333,                0.96285,                0.93842,              0.0024265,              0.0024265,              0.0024265
